id,name,latitude,longitude,rating,numberOfReviews,priceRange,rawRanking,website,cuisine,dishes,features,phone,rankingString,locationString
25346336.0,Khan's Restaurant And Barbeque,-1.44316,36.99228,5.0,2,,3.080208301544189,,"Indian, African, Arabic",,"Delivery, Takeout, Free Wifi",+254 714 601143,#2 of 4 places to eat in Athi River,"Athi River, Eastern Province"
12092837.0,Maanzoni Lodge,,,4.5,6,,3.1009862422943115,,,,,+254 20 2699600,#1 of 4 places to eat in Athi River,"Athi River, Eastern Province"
25392504.0,BILLIONAIRES SWARA PARK,-1.516707,36.849995,5.0,1,,3.043221235275269,,African,,"Outdoor Seating, Private Dining, Seating, Parking Available, Television, Highchairs Available, Serves Alcohol, Full Bar",+254 714 894528,#2 of 13 places to eat in Kitengela,"Kitengela, Rift Valley Province"
21013051.0,Su Cakes And Dusty Grill Bistro,-1.507609,36.953518,,0,,3.0371222496032715,,African,,,+254 736 966605,#6 of 13 places to eat in Kitengela,"Kitengela, Rift Valley Province"
14961228.0,Paul Caffe,-1.331592,36.925552,4.0,39,,3.2974624633789062,https://www.facebook.com/PAUL-CAFFE-JKIA-1595037830739221/,"Mediterranean, European, African, Cafe",,"Table Service, Seating",,"#156 of 1,048 places to eat in Nairobi",Nairobi
24192080.0,The Tunnel Night Club,-1.357408,36.89621,4.0,1,,3.02315092086792,,African,,,+254 722 980002,"#667 of 1,048 places to eat in Nairobi",Nairobi
19478127.0,Paul caffe jkia,-1.33023,36.92406,4.0,4,,3.0572729110717773,http://www.paulcaffe.com,British,,,+254 722 519222,"#498 of 1,048 places to eat in Nairobi",Nairobi
25578526.0,Enkare Bar and Restaurant,-1.492795,36.955177,4.0,1,,3.023930311203003,,African,,"Outdoor Seating, Serves Alcohol",,#9 of 13 places to eat in Kitengela,"Kitengela, Rift Valley Province"
21238374.0,Meat & Grill Kitengela,-1.49164,36.955128,5.0,9,"KESÂ 1,334 - KESÂ 7,412",3.2158896923065186,http://www.instagram.com/meatandgrill_/,"African, International, Barbecue, Grill, Contemporary",,"Delivery, Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Street Parking, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Digital Payments, Accepts Credit Cards, Table Service, Dog Friendly, Family style, Non-smoking restaurants",+254 700 201111,#1 of 13 places to eat in Kitengela,"Kitengela, Rift Valley Province"
23822412.0,The Last Village Restaurant,,,1.0,1,,,https://thelastvillage.co.ke/dining-bars/main-restaurant/,,,,,,"Athi River, Eastern Province"
26526904.0,Tako house,-1.358659,36.95439,,0,,,,"Mexican, African, Pizza, Cafe, Fast Food",,"Delivery, Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Street Parking, Television, Wheelchair Accessible, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Free Wifi, Drive Thru, Non-smoking restaurants",+254 721 700660,,"Syokimau, Eastern Province"
25229472.0,Rixxos,-1.52484,36.94595,2.0,2,,2.711574077606201,,African,,,,#10 of 13 places to eat in Kitengela,"Kitengela, Rift Valley Province"
25091660.0,Jamie's Nigerian Restaurant,-1.475256,36.95884,,0,,,,African,,"Delivery, Takeout, Private Dining, Seating, Parking Available, Digital Payments, Cash Only, Free Wifi, Non-smoking restaurants",+254 769 360979,,"Kitengela, Rift Valley Province"
1016210.0,Greenview Restaurant,-1.33084,36.88881,4.0,19,,3.1210310459136963,,"African, Fast Food, Vegetarian Friendly",Fish,"Takeout, Buffet",,"#322 of 1,048 places to eat in Nairobi",Nairobi
25083627.0,Mj Ethiopian Cuisine,-1.371765,36.935596,5.0,1,,3.0431339740753174,,"African, Ethiopian",,,+254 714 358792,#1 of 3 places to eat in Syokimau,"Syokimau, Eastern Province"
4897185.0,Choma Zone,-1.32946,36.87334,3.5,13,,3.035269498825073,,"African, Bar, Barbecue, Pub",,"Seating, Table Service",,"#605 of 1,048 places to eat in Nairobi",Nairobi
25184060.0,Cjs - Imaara,-1.32789,36.88155,5.0,602,,4.3705644607543945,https://cjs.co.ke/,"Mexican, American, African, International, European",Burger,,+254 714 000090,"#28 of 1,048 places to eat in Nairobi",Nairobi
17725875.0,Aroma,-1.33882,36.91493,5.0,4,,3.1065359115600586,http://www.ihg.com/crowneplaza/hotels/us/en/nairobi/nboir/hoteldetail,,,,+254 709 222444,"#360 of 1,048 places to eat in Nairobi",Nairobi
23288285.0,Mugg & Bean,-1.32973,36.87356,,0,,,,,,,+254 735-329758,,Nairobi
3339972.0,Java House Jomo Kenyatta Airport,-1.329771,36.93223,3.5,276,,3.27033805847168,http://www.nairobijavahouse.com/java-location/our-restaurants,"American, Bar, Cafe, Vegetarian Friendly","Juice & Smoothies, Sandwiches, Burger, Salad, Toasts, Cakes","Takeout, Seating, Wheelchair Accessible, Serves Alcohol, Free Wifi, Table Service",+254 721 371917,"#166 of 1,048 places to eat in Nairobi",Nairobi
18719112.0,Rosewall Oasis Swimming Pool,-1.494569,36.96802,4.5,2,"KESÂ 29,647 - KESÂ 148,236",3.041609048843384,http://rosewalloasisswimmingpool.com/,"Indian, African",,,+254 770 866603,#4 of 13 places to eat in Kitengela,"Kitengela, Rift Valley Province"
23651054.0,Famous Gate,-0.797691,35.3508,4.0,1,,3.025161028,http://famousgate.co.ke,"African, Barbecue, Pub, Beer restaurants",,,,#2 of 3 places to eat in Bomet,"Bomet, Rift Valley Province"
26399043.0,Famous Gates Hotel,-0.79827,35.34897,,0,,,,,,,+254 729 984464,,"Bomet, Rift Valley Province"
10388494.0,The Fair Hills,-0.781152,35.34321,4.0,8,KESÂ 148,3.037363052,http://thefairhillshotel.co.ke/,,,"Delivery, Takeout, Reservations, Outdoor Seating, Buffet, Private Dining, Seating, Parking Available, Street Parking, Free off-street parking, Television, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Drive Thru, Playgrounds, Dog Friendly, Family style",+254 790 060712,#1 of 3 places to eat in Bomet,"Bomet, Rift Valley Province"
3604436.0,Mamma Mias Restaurant,,35.28418,3.5,51,,,,"Indian, International, Vegetarian Friendly, Vegan Options",,"Delivery, Takeout, Reservations, Seating, Serves Alcohol, Outdoor Seating, Table Service",+254 731 363737,#5 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
12981993.0,Java House,,35.290993,4.0,17,,,https://www.javahouseafrica.com/find-a-store/,Cafe,Burger,"Seating, Wheelchair Accessible, Table Service",+254 792 322378,#7 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
3675400.0,The Well Irish Pub & Restaurant,,35.27432,4.0,65,KESÂ 296 - KESÂ 889,,http://www.thewell.co.ke/,"Irish, Bar, Pub, Vegetarian Friendly",Fish,"Full Bar, Takeout, Seating, Television, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Table Service, Reservations",+254 756 207207,#3 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
8737142.0,Siam Restaurant,,35.27797,4.0,20,,,,"Chinese, Asian",Beef,"Takeout, Reservations, Delivery, Seating",+254 723 647529,#6 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
23769377.0,The Farmgrill,,35.265347,4.5,4,,,https://farmgrill.business.site/?utm_source=gmb&utm_medium=referral,"African, Barbecue, Diner",,,+254 796 548252,#11 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
3854188.0,Sunjeel Food Palace,,35.274445,4.5,91,,,,"Indian, Asian, Vegetarian Friendly, Vegan Options, Gluten Free Options",,"Takeout, Reservations, Seating, Serves Alcohol, Full Bar",+254 720 554747,#1 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
2416916.0,Kerio View,,35.511166,4.0,43,"KESÂ 593 - KESÂ 2,965",,http://www.kerioview.com,"Bar, European, Pub, Vegetarian Friendly, Vegan Options",,"Buffet, Seating, Parking Available, Free off-street parking, Full Bar, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Takeout, Reservations, Outdoor Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",+254 722 781916,#2 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
10359516.0,64 Resort And Sporting Club,,35.285103,3.5,22,"KESÂ 29,647 - KESÂ 177,883",,http://64resort.com/,"African, Bar, Contemporary, Indian, Pub, Vegetarian Friendly",,"Seating, Highchairs Available, Wheelchair Accessible",+254 733 740000,#8 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
6918439.0,Bakers Point,,35.277752,4.0,28,,,http://www.bakerspointkenya.com,"Pizza, Fast Food, Vegetarian Friendly, Vegan Options","Burger, Cakes","Takeout, Delivery, Wheelchair Accessible",+254 723 577000,#4 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
7759348.0,Cleopatra's coldfire,,35.27606,4.0,9,KESÂ 296 - KESÂ 741,,,"Cafe, Greek",,,+254 719 434480,#10 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
12226917.0,Sains,,35.26334,4.5,7,,,,Indian,,Reservations,+254 722 699910,#9 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
15870613.0,Bakers Point,,35.27797,4.5,6,,,https://www.bakerspointkenya.com/zion-mall/,Cafe,Cakes,,+254 723 577000,#12 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
21281651.0,Wings 23 Restaurant & Pub,,,4.0,4,"KESÂ 29,647 - KESÂ 444,560",,http://wings23restaurant.com,"Steakhouse, Indian, African, Greek, Wine Bar, Cafe, Beer restaurants",,"Takeout, Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Live Music, Drive Thru, Family style, Sports bars",+254 742 222327,#14 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
23221543.0,Island Bakers Eldoret,,35.27457,5.0,2,,,http://www.islandbakers.co.ke,,,"Delivery, Takeout, Parking Available, Street Parking, Wheelchair Accessible, Accepts American Express, Accepts Visa, Cash Only, Free Wifi, Accepts Credit Cards, Drive Thru, Non-smoking restaurants",+254 723 027440,#13 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
12839706.0,Pandits Vegetarian Restaurant,,,5.0,2,,,,Indian,,,+254 729 039099,#16 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
8647988.0,WANNAH RESTAURANT,,35.273376,4.0,3,"KESÂ 14,824 - KESÂ 177,883",,http://www.wannahrestaurants.co.ke,"African, International, Asian",,,+254 703 867579,#18 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
12882851.0,Pizza Bistro,,35.26921,3.5,5,,,https://www.facebook.com/Pizza-Bistro-506480526063504/,"Italian, Pizza, Cafe, Fast Food",,,+254 721 261717,#20 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
17513510.0,Spark Bite,,35.51019,5.0,2,,,https://www.facebook.com/sparkbiteeldoret/,Indian,,,+254 721 461786,#15 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
23025326.0,Tamasha Eldoret,,35.26992,5.0,1,"KESÂ 88,942 - KESÂ 1,778,832",,,"African, Barbecue, Contemporary, Dining bars, Beer restaurants",,,+254 711 831769,#19 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
13984225.0,"Zaika Lounge,Rupa's Mall,2nd floor ,Eldoret",,35.26978,3.5,15,"KESÂ 17,788 - KESÂ 741,180",,https://www.facebook.com/Zaika-Lounge-113115529401847/,"Chinese, Indian, African",,"Seating, Reservations, Wheelchair Accessible, Table Service",+254 752 111110,#22 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
26325298.0,Caesars waterfront Sergoit Moiben,,35.27318,5.0,1,,,,African,,"Takeout, Outdoor Seating, Parking Available, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Credit Cards, BYOB, Sports bars, Gift Cards Available",+254 748 639537,#17 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
19605152.0,KQ Grill And BISTRO,,35.27082,1.0,1,,,,,,,+254 708 708699,#27 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
13988044.0,Zaika,,35.26978,3.5,4,"KESÂ 17,788 - KESÂ 741,180",,https://www.facebook.com/Zaika-Lounge-113115529401847/,"Chinese, Indian, African",,,+254 727 246197,#23 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
23278380.0,The Swahili Joint Eldoret,,35.27797,4.0,1,,,https://www.facebook.com/The-Swahili-Joint-Eldoret-174162837563494/,"African, Cafe, Fast Food, International, Diner, Healthy",,,+254 796 800465,#26 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
6721262.0,Eldoria Restaurant,,35.27369,3.5,9,,,http://www.eldoria.co.ke,,,,+254 727 867412,#21 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
4261955.0,Starbucks Restaurant and Hotel,,,3.0,18,,,,International,,"Reservations, Seating, Wheelchair Accessible",+254 726 925162,#24 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
13481660.0,Zaika Lounge,,35.289356,4.0,5,"KESÂ 17,788 - KESÂ 741,180",,https://www.facebook.com/Zaika-Lounge-113115529401847/,"Chinese, Indian, African",,Table Service,+254 727 246197,#25 of 35 places to eat in Eldoret,"Eldoret, Rift Valley Province"
17804595.0,OHI Catering Center,,35.272293,,0,"KESÂ 7,412 - KESÂ 148,236",,https://www.facebook.com/ohicatering/,"African, Barbecue, Contemporary, Diner",,,+254 717 580036,,"Eldoret, Rift Valley Province"
25528329.0,Veg curries,,35.26677,,0,,,,"Italian, Indian, African, Middle Eastern, Afghan, Central-Italian",,"Delivery, Takeout, Outdoor Seating, Seating, Parking Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Discover, Accepts Credit Cards, Drive Thru, Sports bars",+254 729 901878,,"Eldoret, Rift Valley Province"
19605157.0,Blue Lounge,,35.256042,,0,,,https://www.facebook.com/blueloungeeldoret/,,,,+254 720 331686,,"Eldoret, Rift Valley Province"
26364290.0,Buy N Bake Cakes,,35.27363,,0,,,https://www.facebook.com/buynbakeld/,"British, Contemporary, Diner",,"Delivery, Reservations, Outdoor Seating, Parking Available, Street Parking, Television, Accepts Visa, Cash Only, Accepts Credit Cards",+254 721 860371,,"Eldoret, Rift Valley Province"
23462371.0,Hatens Kitchen,,35.305397,,0,,,https://www.facebook.com/hatens.kitchen/?ref=page_internal,,,,+254 704 047368,,"Eldoret, Rift Valley Province"
23886108.0,Golden Simba Garden Restaurant,,35.255512,,0,,,,"Indian, African, Bar, Barbecue, Pub, Central-Italian",,,+254 722 679390,,"Eldoret, Rift Valley Province"
25929656.0,Infinity Tavern,,35.381123,,0,,,,"Chinese, Indian, African",,"Delivery, Private Dining, Parking Available, Highchairs Available, Full Bar, Cash Only, Free Wifi, Accepts Credit Cards",+254 716 957062,,"Eldoret, Rift Valley Province"
4572589.0,Mapango Restaurant,-3.356332,40.017178,4.0,122,,3.4240610599517822,http://www.lilypalmresort.com,"Pizza, Seafood, Mediterranean, European, Vegetarian Friendly, Gluten Free Options",,"Delivery, Reservations, Outdoor Seating, Seating, Street Parking, Serves Alcohol, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service, Waterfront, Beach, Dog Friendly",+254 793 579633,#22 of 60 places to eat in Watamu,"Watamu, Coast Province"
4004865.0,Scorpio Villas,-3.22544,40.12709,4.5,44,,3.386630058288574,http://www.scorpio-malindi.com,"Italian, Seafood, Mediterranean, European, Central European, Vegetarian Friendly, Vegan Options",,"Reservations, Seating, Parking Available, Wheelchair Accessible, Serves Alcohol, Outdoor Seating, Table Service",+254 42 2120194,#6 of 59 places to eat in Malindi,"Malindi, Coast Province"
8779125.0,Marina Restaurant,-3.357221,40.012505,4.5,30,"KESÂ 296 - KESÂ 3,706",3.3289008140563965,,"Italian, African, Vegetarian Friendly",,"Reservations, Seating",+254 714 906424,#24 of 60 places to eat in Watamu,"Watamu, Coast Province"
3753211.0,White Elephant,-3.246967,40.12631,4.0,65,,3.3012919425964355,,"Italian, European, Contemporary, Vegetarian Friendly",,"Reservations, Seating, Serves Alcohol",,#8 of 59 places to eat in Malindi,"Malindi, Coast Province"
3795171.0,Mida Dhow,-3.35,40.0167,5.0,42,"KESÂ 5,188 - KESÂ 6,671",3.4537367820739746,,"Seafood, Steakhouse, Vegetarian Friendly",,"Reservations, Outdoor Seating, Serves Alcohol",+254 713 662999,#20 of 60 places to eat in Watamu,"Watamu, Coast Province"
7381917.0,"The House Restaurant- Cafeterian, Pizzeria",-3.210203,40.11689,4.5,48,,3.4033849239349365,,"Italian, Pizza, Seafood, Vegetarian Friendly",,"Reservations, Seating, Wheelchair Accessible, Outdoor Seating",+254 716 514960,#5 of 59 places to eat in Malindi,"Malindi, Coast Province"
12841158.0,Marafiki Beach Bar & Restaurant,-3.315519,40.085064,4.0,73,,3.4557855129241943,http://web.facebook.com/MarafikiHolidays,"Italian, African, Seafood",,"Seating, Reservations, Wine and Beer, Waterfront, Beach",+254 711 738524,#19 of 60 places to eat in Watamu,"Watamu, Coast Province"
19864167.0,Lichthaus by Temple Point,-3.38505,39.970642,3.5,81,"KESÂ 593 - KESÂ 2,224",3.3003575801849365,http://www.instagram.com/lichthaus_watamu/,"African, Bar, Barbecue, Grill, Pub, Fusion",Salad,"Seating, Reservations, Outdoor Seating, Parking Available, Accepts Credit Cards",+254 740 768412,#25 of 60 places to eat in Watamu,"Watamu, Coast Province"
8766340.0,My Way Restaurant,-3.216037,40.12189,4.0,39,"KESÂ 51,883 - KESÂ 296,472",3.3170723915100098,http://mywaymalindi.com,"Italian, African, Pizza, Seafood, Grill, Vegetarian Friendly",,"Takeout, Wheelchair Accessible, Serves Alcohol, Reservations, Seating, Table Service",+254 708 487927,#7 of 59 places to eat in Malindi,"Malindi, Coast Province"
15679033.0,Luwa Beach,-3.315389,40.08481,4.5,39,"KESÂ 445 - KESÂ 5,929",3.4660837650299072,http://www.facebook.com/tatibeach,"Italian, African, Seafood",,"Reservations, Outdoor Seating, Seating, Serves Alcohol, Table Service, Parking Available, Street Parking, Wheelchair Accessible, Wine and Beer, Digital Payments, Beach, Dog Friendly, Family style",+254 705 716076,#17 of 60 places to eat in Watamu,"Watamu, Coast Province"
1214061.0,Baby Marrow - Italian Restaurant,-3.223726,40.126328,4.0,288,"KESÂ 148,236 - KESÂ 741,180",3.622770071029663,http://www.babymarrowrestaurant.com/,"Italian, Pizza, Seafood, Mediterranean, European, Vegetarian Friendly","Pasta, Crab, Lobster, Tuna, Prawns, Pesto, Fish","Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Parking Available, Street Parking, Free off-street parking, Highchairs Available, Wine and Beer, Digital Payments, Accepts Credit Cards, Live Music, Jazz Bar, Dog Friendly, Family style, Non-smoking restaurants",+254 700 766704,#4 of 59 places to eat in Malindi,"Malindi, Coast Province"
3506821.0,SWAHILI cafe,-3.347499,40.01322,4.5,141,"KESÂ 2,816",3.6293482780456543,,"African, Vegetarian Friendly",,"Reservations, Takeout, Seating",+254 724 812422,#13 of 60 places to eat in Watamu,"Watamu, Coast Province"
7316193.0,The Ocean Sports Restaurant,-3.361161,40.0081,4.0,129,,3.680927038192749,http://www.oceansports.net/service/ocean-sports-resort-restaurant/,"Bar, European, Seafood, Vegetarian Friendly","Fish & Chips, Calamari, Tuna, Fish","Reservations, Outdoor Seating, Seating, Television, Serves Alcohol, Full Bar, Free Wifi, Highchairs Available, Table Service",+254 724 389732,#12 of 60 places to eat in Watamu,"Watamu, Coast Province"
8631962.0,Osteria,-3.219487,40.12598,4.0,275,,3.719959020614624,http://facebook.com/osteriamalindi,"Italian, Seafood, Vegetarian Friendly, Vegan Options, Gluten Free Options","Ice Cream, Pasta, Salad, Risotto, Gelato, Prawns, Pesto, Fish","Delivery, Takeout, Reservations, Outdoor Seating, Buffet, Seating, Parking Available, Highchairs Available, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Table Service, Live Music",+254 725 525665,#3 of 59 places to eat in Malindi,"Malindi, Coast Province"
3742528.0,Makuti Ristorante Pizzeria,-3.356278,40.01697,4.5,201,"KESÂ 148 - KESÂ 2,965",3.8442442417144775,https://www.facebook.com/profile.php?id=100057396350173,"Italian, African, Pizza, Seafood, Mediterranean, European, Vegetarian Friendly, Gluten Free Options, Vegan Options",,"Takeout, Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Digital Payments, Cash Only, Delivery, Television, Free Wifi",+254 720658371,#9 of 60 places to eat in Watamu,"Watamu, Coast Province"
2316040.0,Lo Spuntino,-3.353808,40.01965,4.0,177,,3.626755475997925,,Seafood,Lobster,"Seating, Reservations, Outdoor Seating, Wheelchair Accessible, Table Service",,#14 of 60 places to eat in Watamu,"Watamu, Coast Province"
12850330.0,Crab Shack,-3.345306,39.988922,4.5,417,"KESÂ 445 - KESÂ 4,447",4.253465175628662,http://dabasocreek.wixsite.com/crabshack,African,"Crab, Lobster, Calamari, Clams, Prawns, Fish","Reservations, Outdoor Seating, Seating, Parking Available, Serves Alcohol, Full Bar, Table Service",+254 725 315562,#5 of 60 places to eat in Watamu,"Watamu, Coast Province"
2707792.0,Rosada Beach Restaurant,-3.244478,40.126694,4.0,276,,3.804516315460205,http://www.facebook.com/rosadabeachmalindi/,"Italian, Pizza, Seafood, Mediterranean, Barbecue, European, International, Vegetarian Friendly","Pasta, Pesto, Fish","Reservations, Outdoor Seating, Seating, Parking Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service",+254 700 501813,#1 of 59 places to eat in Malindi,"Malindi, Coast Province"
3733515.0,Come Back Club Watamu,-3.354509,40.019848,4.0,406,"KESÂ 1,186 - KESÂ 4,447",4.180985927581787,http://www.comebackclubwatamu.com,"Italian, African, Seafood, International, Barbecue, Vegetarian Friendly, Vegan Options, Gluten Free Options",,"Delivery, Takeout, Reservations, Outdoor Seating, Seating, Street Parking, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Cash Only, Table Service, Free Wifi",+254716605178,#6 of 60 places to eat in Watamu,"Watamu, Coast Province"
6908327.0,Amandina,-3.361625,40.003674,4.5,90,,3.7753889560699454,http://www.medinapalms.com/dining/amandina-at-medina-palms/,"Seafood, African, Pizza, Mediterranean, European, Vegetarian Friendly, Vegan Options","Pasta, Salad, Tuna, Prawns, Gazpacho, Pesto, Fish","Reservations, Outdoor Seating, Seating, Parking Available, Serves Alcohol, Free Wifi, Delivery, Buffet, Private Dining, Free off-street parking, Television, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service, Live Music, Beach, Family style, Sports bars",+254 718 152999,#10 of 60 places to eat in Watamu,"Watamu, Coast Province"
5482415.0,Safina Beach Bar & Grill,-3.315372,40.085537,4.5,433,,4.471646785736084,https://www.facebook.com/pages/Safina-Beach-Bar/573748656068319,"African, Seafood, Barbecue, Vegetarian Friendly, Gluten Free Options","Oyster, Fish","Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar",+254 719 214521,#3 of 60 places to eat in Watamu,"Watamu, Coast Province"
16870117.0,African Footprint,-3.315902,40.08493,4.5,27,,3.450548887252808,https://www.facebook.com/improntaafricana/,"Bar, Seafood, Barbecue, Pub, Italian, African, Mediterranean",,"Reservations, Table Service, Takeout, Outdoor Seating, Seating, Parking Available, Free off-street parking, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Waterfront, Beach, Dog Friendly, Family style",+254 727 786631,#21 of 60 places to eat in Watamu,"Watamu, Coast Province"
